"username","password","email","firstname","lastname","sex","city","phonenum","dateofbirth"
"jspurling0","iDuaE17UqD","jspurling0@cnet.com","Jeno","Spurling","Female","Roanoke",823311983,"1990-08-05"
"gjantzen1","gK3MEjmRjWG","gjantzen1@ustream.tv","Gabrielle","Jantzen","Male","Amurzet",868151565,"1980-08-10"
"fhoys2","0IMU2gpMnT","fhoys2@live.com","Fidelity","Hoys","Male","San Francisco",289543071,"1975-10-25"
"estirton3","LI2uS0yn","estirton3@twitter.com","Elfreda","Stirton","Male","Nioro du Rip",347128423,"1997-09-12"
"broizin4","nzLSdSLEX","broizin4@live.com","Bard","Roizin","Male","Barbudo",591434233,"1971-02-05"
"jrosendale5","jOxUSjwmYk","jrosendale5@salon.com","Jade","Rosendale","Male","Mananjary",219508772,"2000-11-10"
"tbampkin6","cArn4UKHzqSx","tbampkin6@addthis.com","Tim","Bampkin","Female","Sayang Lauq",324612460,"1999-08-27"
"tbonnor7","ql69p2ER6","tbonnor7@vkontakte.ru","Tripp","Bonnor","Male","Dian-ay",743645835,"1984-05-13"
"swoodhouse8","X4lUuuH4e","swoodhouse8@youtube.com","Shirlene","Woodhouse","Male","Tuluá",999245753,"1975-12-08"
"vissakov9","6JSDjWUA","vissakov9@nba.com","Vaclav","Issakov","Male","Santo Niño",385990447,"1984-02-22"
"bwhorfa","CwXDEyN9","bwhorfa@acquirethisname.com","Brier","Whorf","Male","São José dos Campos",524231412,"1985-11-18"
"jbodegab","QAJTSZok","jbodegab@chicagotribune.com","Janeczka","Bodega","Female","Jingmen",432782869,"1986-08-05"
"hsimmigc","eRfo6XtU","hsimmigc@nifty.com","Humberto","Simmig","Female","Birmingham",713066360,"1995-10-06"
"bmccartand","YopGQLwV","bmccartand@cisco.com","Bonnie","McCartan","Female","Bilice",583660045,"1979-02-03"
"ngeraldeze","87Ao0xs","ngeraldeze@house.gov","Nobie","Geraldez","Male","Międzyzdroje",517944304,"1979-05-05"
"ndoersf","zqfAd9kfyiiS","ndoersf@elpais.com","Nolana","Doers","Female","Mirsíni",990455348,"1981-09-26"
"cwhewellg","KTSjjPeq8V2b","cwhewellg@economist.com","Corissa","Whewell","Female","San Juan de Mata",961053963,"1977-02-27"
"lchadbandh","FF8G8Z8","lchadbandh@ezinearticles.com","Lynnett","Chadband","Female","Xiabuji",848702791,"1984-10-31"
"aportwainei","R5QmsJpzFA","aportwainei@ucoz.com","Alice","Portwaine","Female","Dahe",611395174,"1987-10-31"
"candreuttij","eIDwkVxp","candreuttij@disqus.com","Curry","Andreutti","Female","Jinnan",184726064,"1979-01-02"
"dlinzeyk","TovYq92","dlinzeyk@istockphoto.com","Dion","Linzey","Female","Liangting",682334014,"1992-02-10"
"bmatousl","BnbL3J5","bmatousl@umn.edu","Britt","Matous","Female","Daguma",565143300,"1981-08-07"
"rhebbesm","p9zFuzXus0D5","rhebbesm@utexas.edu","Randie","Hebbes","Male","Cachadinha",413410757,"1974-08-03"
"lpercyn","oEvjs2PNiw0S","lpercyn@ask.com","Latisha","Percy","Female","Inowrocław",418500088,"1983-03-07"
"ehamfletto","WbIzjQbMDq","ehamfletto@desdev.cn","Esmeralda","Hamflett","Female","Richmond",144268971,"1987-12-21"
"lvedyasovp","Ec72IS7yWY","lvedyasovp@uol.com.br","Lacee","Vedyasov","Male","Patemon",607510884,"1990-08-07"
"cchippq","HqT1qfGSzTr6","cchippq@mapquest.com","Charley","Chipp","Male","Montauban",917694825,"1981-08-10"
"kmulvyr","HGfc66Mcdvg5","kmulvyr@qq.com","Karole","Mulvy","Female","Malicboy",378679869,"1993-05-21"
"poneills","1ZXnZVICf","poneills@gov.uk","Pavel","O'Neill","Male","Nanao",863636393,"1999-01-14"
"mtondeurt","ahoi8Xmhnt","mtondeurt@google.co.jp","Morlee","Tondeur","Female","Kamyzyak",486168199,"1992-11-03"
"smccomiskieu","qkqjzCBk3","smccomiskieu@taobao.com","Sidoney","McComiskie","Male","Lypnyazhka",375269522,"1983-03-14"
"iorrisv","VhZQP05OPGJf","iorrisv@godaddy.com","Iver","Orris","Male","Skoki",676370531,"1996-02-16"
"mickovitzw","fjr8cX","mickovitzw@csmonitor.com","Melvyn","Ickovitz","Male","Wrząsowice",541693452,"1991-04-03"
"tmccandiex","1ZUFf8myd","tmccandiex@tinypic.com","Tonie","McCandie","Male","Altan-Ovoo",534752804,"1994-09-11"
"cgiorgielliy","fQVJnbtiM0F","cgiorgielliy@fc2.com","Cheston","Giorgielli","Male","Geghanist",416398352,"2000-10-06"
"wpawelecz","89duJAzTo5","wpawelecz@wp.com","Webb","Pawelec","Female","Honglu",750407786,"1985-12-30"
"jpresnall10","lxv4cjGTpdru","jpresnall10@typepad.com","Jesse","Presnall","Female","Pentecoste",360787862,"1978-11-13"
"lbythell11","wSGKi8Gu7G","lbythell11@vimeo.com","Laney","Bythell","Female","Coromoro",739513668,"1973-09-19"
"jballintyne12","A8JZZk","jballintyne12@pen.io","Jennee","Ballintyne","Male","Vichuga",326559963,"1997-09-27"
"tharkes13","3Xo31O7z","tharkes13@w3.org","Tod","Harkes","Male","Krasnyy Profintern",152371058,"1972-02-15"
"iscrimshaw14","3N8JY4","iscrimshaw14@mapy.cz","Ingaberg","Scrimshaw","Female","Versailles",677387025,"1996-07-26"
"moheffernan15","ln7DA4Pc2","moheffernan15@cnn.com","Marget","O'Heffernan","Female","Puerta de Corral Quemado",944536674,"1974-08-11"
"llount16","bDHmhn7TuR","llount16@gizmodo.com","Lorene","Lount","Female","Leicheng",797624999,"1992-07-21"
"chysom17","9TsCLlrTc","chysom17@springer.com","Celinda","Hysom","Female","Ayna",126099649,"1990-12-09"
"nclapshaw18","Gja8xYh6","nclapshaw18@java.com","Neila","Clapshaw","Female","Rozivka",574191446,"1993-08-31"
"zelsie19","7CnRvDeVL","zelsie19@arstechnica.com","Zane","Elsie","Female","Grzęska",947821163,"1983-10-07"
"bgager1a","IUiovihIi","bgager1a@google.nl","Brod","Gager","Male","Senanga",946202408,"1983-11-20"
"cchittem1b","lQvyJKy59tq","cchittem1b@amazon.de","Clayborne","Chittem","Female","Wasilków",568871090,"1985-07-08"
"cneumann1c","xXDcYtpZFUxi","cneumann1c@yahoo.co.jp","Charita","Neumann","Male","Bjelovar",719293221,"1987-09-24"
"gfilinkov1d","y4wp78EXTozg","gfilinkov1d@nbcnews.com","Galen","Filinkov","Female","Uthai",521258433,"1977-05-03"
